Date,OPEN,VOLUME,TodaysOpenGreaterThanNextWeekAverage(Classifier),AverageChangeLast-5,AverageChangeLast-10,AverageChangeLast-30
10/7/2016,86.95,6608815.00,1.00,0.08,3.09,-1.98
10/6/2016,87.25,7718259.00,0.00,-0.16,1.14,-1.42
10/5/2016,86.83,8796215.00,1.00,3.33,2.23,-1.74
10/4/2016,87.38,8222033.00,0.00,3.60,0.95,-1.15
10/3/2016,86.94,7111178.00,1.00,1.87,-0.22,-2.45
9/30/2016,86.84,15928885.00,1.00,1.94,-0.48,-2.14
9/29/2016,86.97,19082873.00,0.00,-0.24,-0.77,-1.63
9/28/2016,83.46,28115546.00,1.00,0.50,-1.37,-1.50
9/27/2016,82.59,9595020.00,1.00,-0.55,-2.60,-1.94
9/26/2016,83.52,10860220.00,1.00,-1.25,-2.49,-0.32
9/23/2016,82.68,12666906.00,1.00,-1.06,-4.03,0.06
9/22/2016,84.28,10737894.00,1.00,-0.91,-3.37,-0.94
9/21/2016,82.82,15055917.00,1.00,-1.02,-2.98,-1.60
9/20/2016,83.73,17520615.00,1.00,-1.91,-1.57,-0.82
9/19/2016,84.58,7928973.00,0.00,-1.54,-0.79,-0.38
9/16/2016,84.51,21538205.00,0.00,-2.86,0.19,-0.03
9/15/2016,84.67,9248941.00,0.00,-1.95,-0.02,0.54
9/14/2016,85.04,13956215.00,0.00,-1.32,-0.46,1.18
9/13/2016,86.46,13214321.00,0.00,0.16,0.63,-0.43
9/12/2016,86.78,10889025.00,0.00,0.60,0.04,0.09
9/9/2016,88.66,12820202.00,0.00,1.30,-0.28,-2.72
9/8/2016,88.55,9579545.00,0.00,0.50,0.13,-3.63
9/7/2016,88.65,7470375.00,0.00,-0.37,-0.26,-3.64
9/6/2016,87.84,9850712.00,0.00,0.31,0.21,-5.36
9/2/2016,87.42,7099643.00,1.00,-0.31,-1.07,-5.78
9/1/2016,86.72,8434729.00,1.00,-0.57,-0.61,-5.33
8/31/2016,87.14,12491437.00,1.00,0.12,-0.06,-5.46
8/30/2016,87.87,6440948.00,1.00,-0.18,0.07,-5.74
8/29/2016,87.04,7027099.00,1.00,0.38,-0.52,-5.67
8/26/2016,87.63,6474424.00,0.00,-0.83,1.00,-5.93
8/25/2016,88.02,6935161.00,0.00,-0.29,1.20,-5.29
8/24/2016,87.50,7981774.00,0.00,0.19,-0.06,-4.66
8/23/2016,87.84,6512486.00,0.00,0.32,-0.80,-4.44
8/22/2016,87.31,8235406.00,1.00,-0.31,-0.17,-3.32
8/19/2016,88.63,8614984.00,0.00,1.16,0.13,-2.77
8/18/2016,88.38,10342730.00,0.00,0.99,0.22,-3.58
8/17/2016,87.92,7104115.00,1.00,-0.44,0.64,-2.39
8/16/2016,87.83,6817932.00,1.00,-1.12,1.11,-1.99
8/15/2016,88.42,6432580.00,0.00,-0.40,-0.71,-2.03
8/12/2016,86.96,9986524.00,1.00,-0.13,-0.13,-0.81
8/11/2016,86.69,11616032.00,1.00,0.25,-2.71,0.30
8/10/2016,87.78,12714814.00,1.00,0.95,-3.23,2.13
8/9/2016,88.62,9654554.00,0.00,1.18,-3.07,2.97
