@relation 'testData (Autosaved)'

@attribute Date date "MM/dd/yyyy"
@attribute OPEN numeric
@attribute VOLUME numeric
@attribute AverageChangeLast-5 numeric
@attribute AverageChangeLast-10 numeric
@attribute AverageChangeLast-30 numeric
@attribute 'Crude Oil Imports(US)' numeric
@attribute DayToDay(Classifier) numeric

@data
10/8/2010,63.81,22370500,0.836,0.958,1.918667,10447,1
10/11/2010,64.36,13848900,1.004,0.741,2.755333,10447,1
10/12/2010,64.31,20732000,1.406,1.385,2.073667,10447,1
10/13/2010,64.84,22560500,1.104,1.509,3.073667,10447,1
10/14/2010,65.05,17778100,0.544,1.674,1.981333,10447,1
10/15/2010,65.64,25500700,0.984,1.655,1.677667,11054,1
10/18/2010,65.19,22481700,0.596,1.72,1.105333,11054,1
10/19/2010,65.59,25367400,0.992,2.059,1.580667,11054,0
10/20/2010,65.47,20543900,0.546,1.655,1.963,11054,1
10/21/2010,66.29,21291200,0.53,1.082,1.298333,11054,1
10/22/2010,66.51,13332800,0.144,1.479,1.594,12171,1
10/25/2010,66.68,16516600,0.824,1.125,1.755333,12171,0
10/26/2010,65.96,17652900,0.408,1.34,2.478667,12171,0
10/27/2010,65.95,23358900,0.81,0.993,2.742667,12171,0
10/28/2010,66.43,20464200,-0.078,0.846,2.808333,12171,1
10/29/2010,66.1,19265600,-0.318,0.348,2.643333,10942,1
11/1/2010,66.72,22372700,-0.458,0.928,2.983667,10942,1
11/2/2010,67.32,26192200,0.412,0.595,2.553667,10942,1
11/3/2010,68.23,26545300,0.684,0.987,2.853667,10942,1
11/4/2010,68.4,31221400,0.664,0.363,3.641,10942,1
11/5/2010,69.44,26531700,1.626,0.449,3.395333,10457,1
11/8/2010,69.49,23628000,1.708,0.645,3.190333,10457,1
11/9/2010,70.29,33938100,1.782,1.777,3.837333,10457,1
11/10/2010,70.96,25482400,1.43,2.197,3.983,10457,1
11/11/2010,71,23788900,1.892,2.263,4.121,10457,1
11/12/2010,71.38,24598100,1.342,3.154,4.085667,10186,0
11/15/2010,71.01,18779600,1.49,2.984,4.167333,10186,0
11/16/2010,69.62,27543400,0.722,2.737,4.373667,10186,0
11/17/2010,68.84,17471800,-0.286,1.937,3.973,10186,0
11/18/2010,69.65,18322900,-0.75,1.871,3.362,10186,1
11/19/2010,70.2,24116400,-1.434,0.924,3.727333,11508,1
11/22/2010,70.1,18907900,-1.154,0.928,3.382667,11508,0
11/23/2010,68.8,22672000,0.178,0.115,3.620667,11508,0
11/24/2010,69.25,19335600,0.966,-0.72,3.233333,11508,1
11/26/2010,69.3,7324600,0.33,-0.885,3.184667,10587,0
11/29/2010,68.86,20021200,-0.436,-1.525,2.725667,10587,1
11/30/2010,68.55,27524300,-0.554,-1.309,3.317667,10587,1
12/1/2010,70.38,26590200,0.62,-0.011,3.027,10587,1
12/2/2010,71.19,21274800,0.64,1.008,3.354,10587,1
12/3/2010,71.01,19457100,0.91,0.445,2.716333,11690,0
12/6/2010,71.2,15985400,1.742,-0.017,2.658667,11690,1
12/7/2010,71.91,23694600,2.424,0.16,2.654333,11690,1
12/8/2010,71.87,22654900,0.974,1.587,3.549667,11690,0
12/9/2010,72.0503,17971600,0.268,1.424,3.737,11690,1
12/10/2010,72.18,17699500,0.552,1.586,3.468,10045,1
12/13/2010,72.41,21170500,0.56,2.321,3.996667,10045,1
